NB_GRAPHS                 10
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 479
LIST_OF_EDGES 	 COSTS
    0     1    20
    1     2    95
    2     3    90
    3     4    56
    4     5     4
    5     6    33
    6     7    31
    7     8     8
    8     9    77
    9    10    19
   10    11    20
   11    12     2
   12    13    62
   13    14    49
   14    15    31
   15    16    73
   16    17    23
   17    18    36
   18    19    65
   19    20    41
   20    21    21
   21    22    56
   22    23    18
   23    24    83
   24    25    55
   25    26    96
   26    27    23
   27    28    99
   28    29   100
   29    30    92
   30    31    15
   31    32    17
   32    33    52
   33    34    38
   34    35    90
   35    36    44
   36    37    72
   37    38    62
   38    39    64
   39    40    57
   40    41    13
   41    42    59
   42    43    65
   43    44    44
   44    45    86
   45    46    93
   46    47    33
   47    48    57
   48    49    75
   49    50    29
   50    51    32
   51    52    64
   52    53    96
   53    54    22
   54    55     3
   55    56    42
   56    57    13
   57    58    38
   58    59    91
   59    60     5
   60    61     1
   61    62    93
   62    63     3
   63    64    41
   64    65    70
   65    66    81
   66    67    27
   67    68    92
   68    69    69
   69    70    32
   70    71    82
   71    72    63
   72    73    12
   73    74     4
   74    75    63
   75    76     2
   76    77    39
   77    78   100
   78    79    83
   79    80    36
   80    81     7
   81    82    84
   82    83    31
   83    84    50
   84    85    24
   85    86    82
   86    87    56
   87    88    36
   88    89    58
   89    90    43
   90    91    73
   91    92    72
   92    93    31
   93    94    43
   94    95    15
   95    96    85
   96    97    41
   97    98    44
   98    99    11
   93    68    60
   71     4    75
    3    18    72
   92    38    69
   85    45    69
   87    83    95
   90    44    39
   34    49    76
   26    18    90
   96    80    57
   45    20    63
   12    10     2
   35    45    30
   35    12    38
   80    18    60
   45    52     9
   51    35    84
   11    88    53
    7    71     4
   18    71    34
   89    51    53
   62    33    53
   45    25    49
   54    31    49
   27    45    89
   38    47     8
   15    34    77
   39    44    73
   23    72    87
   27     8    72
    6    76    87
   38    23     5
   73    53    33
   34    29    19
   15    12    61
   95    25    36
   93    34    61
    9    70     4
   27    50    93
   73    55    35
   89    12    20
   74    47    91
   75    59    16
   27    66    45
   42    76    70
   35     4     4
    9     5    81
   19    41    61
   31    52    29
   91    58    60
   20    98    36
   49    98    23
    6    25    93
   14    65    70
   45    31    67
   22    50     7
   25     5    60
   23    73    86
    7     1    34
   63    57    94
   85    75    65
    3     2    18
   92    54    22
   61    12    81
   11    20    75
   91    67    56
   59     3    21
   73    10    47
   94    19    16
   70    50    44
   14    92    64
   82    29    43
   22    64    89
    6    41    94
   63    57     1
   11    80    56
   43    34    99
   51    88    34
   46    42    38
   75    37    98
    0    84    56
   91     5    86
   46    74    33
   84    65    81
   51     8    99
   84    50     7
   65    31    31
   52    57    13
   78    20     8
   42    38    93
   25    80    23
   43    55    88
   67     4    81
   42    16    43
    7    81    28
   51    53    99
   71    15    68
   46    84    42
   25    94    68
   31     2    34
   58    81     3
   73    26    10
   71    26    74
   77    81    27
   97    93    45
   76    12    84
   89    47    68
   94    42    65
   93     0    29
   98    52    98
   14    27    10
   18    39    45
   20    57    15
   23     0    82
   26    97    57
   65    72    63
   81    12    43
   19    45    84
   15    56    48
   72    86    90
   60    10    46
   70    27    72
   49    51    29
   66    17    43
   76    10    65
   32    65    60
   30    51    65
   23     5    10
    0    22    89
   37    31    16
   24    57    50
   52    54    30
   50    38     8
   28    59    36
   13    71    85
   19    57    99
   11    37    65
   22    21    25
   50    78    65
   38    70    12
   18    36    64
   33    38    59
    7    30    86
   75     3     1
    3    18    71
   79    56    84
   92    28    97
   63    45    46
   91    54    31
   89    55     1
   21    61    36
   28    69    14
   21    75    65
   26    92    57
   96    81    13
   39    13    96
   85    47    41
   15    25    79
   92    60     3
   85    39     1
   12    27    89
    8    55    13
   81    45    66
   70    88    12
   89    15    84
   92    62    55
   15     7    80
   47    74    70
   14    55    37
   97     1    75
   23    78    72
   13    99     2
   29    86     4
   72    46    92
   18    72    19
   76    58    25
   99    76    32
   32    47    76
   48    17    44
   99    76    44
   78    41    73
   21    95    56
   71     7    75
   63    57    89
   41    55    10
   49    77    15
   56    12    61
   51     8    20
   71    42    21
   91    42    58
   77    62    87
   95    11    98
   98    69    38
   43     1    21
   59    20    39
   49    65    66
   26    63    64
   33    44     3
   42    32     3
   64    65    84
   22    61    70
   91    25    53
    0    80     1
   38    17    99
   42    76    58
   27    86     5
    0    67    46
    9     9    71
    8     1    95
   89    47    97
   83    94    47
    2    68    58
   22    85    86
   87    56    66
   14    57     9
   96    58    74
   63    80    16
   10    53    47
   84    57    20
    3    73    27
   19    90    18
   65    93    10
   99     7    48
   96    68    23
   48    46    19
   76    57    88
   58    85    64
   91    67    80
   24    23    68
   41    64    78
   41     5    95
   97    84     2
    0    11    77
   34    32    15
   98    95    30
   64    68    42
   86    50     2
   84     7    20
   79    82    39
   74    96    52
   80    72    34
   54    99    33
   99    22    15
   53    24    50
   19     1    41
   77    40    15
   73    98    96
    0    96    42
   78    48     9
   77    62     9
   12    38    70
   33    69    63
    7    73    54
   26    22    80
   29    61    88
   99    64    92
   20    39    82
   17    73     3
   27    92    20
   52    26    82
   23    76    59
   69    56    21
   49    19     2
   39    29    93
   39    57    45
   98    24    39
   80    92    26
   96    22    63
   11    27    51
    9    28    23
   11    21    16
   48    61     3
   68    69    26
    6    94    92
   10    14    90
   64    19    31
   88    91    62
   57    98    98
    7    11    42
   64    45    42
    6    57    61
   86    93    66
   27    72    89
   71    27    47
   45    34    32
   63    94    73
   83    77    24
   46    86    70
   35    40     2
   79    70    41
   29     4    76
   15    17    38
   99    45    39
   87    39    86
   19    82    13
   17    78    16
   92    22    29
   95    41    59
   64    59    78
   43    76    17
   73    22    38
   89    66    70
   42    92    39
   62    73    83
   14    68    25
   80    18    58
   77    41    42
   77    13    44
   16    14    34
   37    54    34
   90     8    81
   38    63    55
   91    35    31
   64    69    26
   39    18    95
   13    78    71
   36    10    69
   15    47    31
   48    22    32
   49    96    72
   23    55    50
   95     9    93
    1     6    66
   65    89    62
   50    87    49
   26    75    34
   22    75    36
   61     3    63
   29    82    95
    1    91     9
    1    57    99
   23     5    26
   82    20    80
   21    72    97
   53    61     2
    4    93     7
   21    27    62
   52    57    14
   53    91    18
   36    45    52
   61    91    72
   29    68    14
   80    38    58
   96    95    79
   85    26    89
   72    86    27
    1    95    83
   31    65     9
   45    12    82
   12    69    83
   32    64    45
   38    30    87
   85    24    10
   87    83     5
   56    49    39
   11    50     3
   88    24    87
   47    77    31
   59    23    89
   12    27     3
   59    57    70
   21    17    58
   49     2    75
   69    62     1
   87    18    93
   27    41    76
   60    69    54
   68    14    38
   10     8    93
    3    61    34
   91    49    90
   15    38     4
   91    27    42
   63    27    41
   34    16    25
   83    76    69
   91    58    94
   76    91    69
   25     7    96
   33    60    24
UNDIRECTED GRAPH      
NB_NODES                 100
NB_EDGES                 393
LIST_OF_EDGES 	 COSTS
    0     1    79
    1     2    27
    2     3    24
    3     4    77
    4     5    90
    5     6    85
    6     7     7
    7     8    80
    8     9    79
    9    10    31
   10    11    41
   11    12    57
   12    13    28
   13    14    25
   14    15    84
   15    16    82
   16    17    22
   17    18    19
   18    19    81
   19    20    86
