NB_GRAPHS                 3
UNDIRECTED GRAPH 
NB_NODES 		 8
NB_EDGES  		 9
LIST_OF_EDGES 	 COSTS 
0 	 2 	 1 
0 	 4 	 2 
1 	 2 	 8 
1 	 5 	 5 
2 	 4 	 5 
2 	 5 	 8 
4 	 6 	 6 
4 	 7 	 1 
5 	 6 	 6 
UNDIRECTED GRAPH 
NB_NODES 		 8
NB_EDGES  		 8
LIST_OF_EDGES 	 COSTS 
0 	 2 	 7 
1 	 6 	 5 
2 	 4 	 5 
2 	 6 	 4 
3 	 5 	 1 
4 	 6 	 3 
4 	 7 	 6 
5 	 7 	 3 
UNDIRECTED GRAPH  # https://www.techiedelight.com/pt/kruskals-algorithm-for-finding-minimum-spanning-tree/
NB_NODES 		 7
NB_EDGES  		11
LIST_OF_EDGES 	 COSTS 
0 	 3 	 5 
2 	 4 	 5 
3 	 5 	 6 
0 	 1 	 7 
1 	 4 	 7 
4 	 5 	 8
1 	 2 	 8 
1 	 3 	 9 
4 	 6 	 9
5 	 6 	11
3 	 4  15 
END
<Graph generated by Andr�a Duhamel, 2012>
